店名:南京金陵饭店	地区:新街口地区，距离南京新百165m	价格:747
店名:南京卓美亚酒店	地区:南京国际博览中心/元通，距离元通地铁站1.2km	价格:1424
店名:南京绿地洲际酒店	地区:湖南路，距离紫峰购物广场35m	价格:1207
店名:南京香樟华苹酒店	地区:汤山镇，距离仙林站15.5km	价格:2556
店名:南京夫子庙亚朵酒店	地区:夫子庙地区，距离夫子庙地铁站40m	价格:707
店名:南京汤山紫清湖生态旅游温泉度假区	地区:汤山镇，距离仙林站13.0km	价格:628
店名:国际青年会议酒店	地区:南京国际博览中心/元通，距离元通地铁站1.2km	价格:598
店名:南京香格里拉大酒店	地区:新模范马路，距离新模范马路地铁站175m	价格:1135
店名:漫心南京夫子庙酒店	地区:升州路/集庆路，距离三山街地铁站215m	价格:518
店名:南京中心大酒店	地区:新街口地区，距离南京中心大酒店10m	价格:558
店名:南京新街口苏宁诺富特酒店	地区:新街口地区，距离时尚莱迪商城295m	价格:565
店名:南京涵碧楼酒店	地区:建邺区，距离绿博园地铁站1.8km	价格:1483
店名:南京圣和府邸豪华精选酒店	地区:珠江路沿线，距离大行宫地铁站440m	价格:1208
店名:南京景枫万豪酒店	地区:百家湖，距离百家湖地铁站540m	价格:1614
店名:晶丽酒店	地区:湖南路，距离鼓楼地铁站355m	价格:398
店名:南京世茂滨江希尔顿酒店	地区:鼓楼区，距离大观天地2.0km	价格:535
店名:如家商旅酒店(南京新街口地铁站店)	地区:新街口地区，距离时尚莱迪商城340m	价格:417
店名:南京维景国际大酒店	地区:苜蓿园，距离明故宫地铁站345m	价格:704
店名:南京索菲特银河大酒店	地区:湖南路，距离山西路165m	价格:858
店名:南京金鹰国际酒店	地区:新街口地区，距离金鹰110m	价格:1075
店名:南京仙林大学城生创园亚朵酒店	地区:栖霞区，距离仙林站4.7km	价格:376
店名:南京朗昇希尔顿酒店(原南京万达希尔顿酒店)	地区:建邺万达，距离集庆门大街地铁站305m	价格:907
店名:南京华泰万丽酒店	地区:奥体中心，距离奥体东地铁站470m	价格:2802
店名:汤山颐尚温泉度假村	地区:汤山镇，距离仙林站15.5km	价格:487
店名:江苏凤凰京华大酒店	地区:湖南路，距离山西路45m	价格:298
店名:南京玄武湖假日酒店	地区:火车站/玄武湖，距离岗子村地铁站135m	价格:851
店名:南京威斯汀酒店	地区:湖南路，距离玄武门地铁站250m	价格:979
店名:青龙山庄酒店	地区:江宁区，距离南京南站12.5km	价格:588
店名:南京水游城假日酒店	地区:夫子庙地区，距离水游城125m	价格:967
店名:南京玄武苏宁诺富特酒店	地区:徐庄软件园，距离苏宁总部·徐庄地铁站200m	价格:908
店名:如家酒店·neo(南京汉中门地铁站市民广场虎踞南路店)	地区:新街口地区，距离汉中门地铁站275m	价格:266
店名:南京紫金山庄	地区:紫金山/孝陵卫，距离苏宁总部·徐庄地铁站1.6km	价格:762
店名:罗莱夏朵颐和公馆	地区:南大/南师大，距离山西路445m	价格:2214
店名:南京颐和芥子园酒店	地区:秦虹村/中华门，距离夫子庙475m	价格:1332
店名:桔子水晶南京新街口酒店	地区:新街口地区，距离张府园地铁站475m	价格:509
店名:锦江之星(南京新街口店)	地区:新街口地区，距离张府园地铁站280m	价格:209
店名:如家酒店(南京新街口中心店)	地区:新街口地区，距离时尚莱迪商城270m	价格:227
店名:维也纳国际酒店(南京南站南广场店)	地区:南京南站/明发，距离南京南站地铁站670m	价格:481
店名:万爱情侣主题酒店(夫子庙店)	地区:夫子庙地区，距离夫子庙地铁站365m	价格:329
店名:南京总统府亚朵酒店	地区:常府街/长白街，距离西安门地铁站315m	价格:535
店名:南京玄武门亚朵酒店	地区:新模范马路，距离新模范马路地铁站225m	价格:476
店名:全季酒店(南京火车站店)	地区:火车站/玄武湖，距离南京站地铁站425m	价格:381
店名:南京银城皇冠假日酒店	地区:胜太路，距离胜太路地铁站300m	价格:699
店名:唐晶酒店	地区:虹悦城，距离安德门地铁站965m	价格:228
店名:南京金鹰尚美酒店	地区:百家湖，距离百家湖地铁站115m	价格:738
店名:南京汤山御庭臻品酒店	地区:汤山镇，距离仙林站15.2km	价格:700
店名:南京富力万达嘉华酒店	地区:江宁万达，距离南京南站4.8km	价格:950
店名:东郊国宾馆	地区:紫金山/孝陵卫，距离中山陵45m	价格:1081
店名:美豪丽致酒店(南京新街口店)	地区:新街口地区，距离南京中心大酒店125m	价格:769
店名:南京南站胜太西路亚朵酒店	地区:胜太路，距离胜太西路地铁站535m	价格:459
店名:漫心南京新街口酒店	地区:常府街/长白街，距离常府街地铁站270m	价格:518
店名:锦江都城(南京夫子庙中心店)	地区:夫子庙地区，距离夫子庙地铁站195m	价格:499
店名:花迹酒店	地区:秦虹村/中华门，距离夫子庙635m	价格:746
店名:沃阁巴厘原墅温泉酒店	地区:江宁区，距离仙林站13.0km	价格:559
店名:南京城市名人酒店	地区:湖南路，距离紫峰购物广场300m	价格:494
店名:南京湖滨金陵饭店	地区:胜太路，距离胜太路地铁站515m	价格:5589
店名:和颐至尚酒店(南京新街口地铁站店)	地区:新街口地区，距离新街口地铁站405m	价格:379
店名:桔子精选南京新街口酒店	地区:新街口地区，距离张府园地铁站190m	价格:489
店名:南京古南都饭店	地区:南大/南师大，距离南大760m	价格:643
店名:钟山宾馆	地区:玄武区，距离西安门地铁站650m	价格:521
店名:梧桐寓·影院酒店(南京南站网红店)	地区:南京南站/明发，距离南京南站地铁站730m	价格:285
